dataset,trajectory_id,binary_label,n_turns,approx_tokens,model,representation,anomaly_score
trace,trajectory_0171,0,26,1094,one_class_svm_sgd,turn_embedding_pool_side,-22.466354463873405
trace,trajectory_0034,1,30,722,one_class_svm_sgd,turn_embedding_pool_side,-22.473599967821475
trace,trajectory_0464,1,28,699,one_class_svm_sgd,turn_embedding_pool_side,-22.468413729669965
trace,trajectory_0258,0,26,1189,one_class_svm_sgd,turn_embedding_pool_side,-22.473154583754923
trace,trajectory_0385,1,21,518,one_class_svm_sgd,turn_embedding_pool_side,-22.469034908032018
trace,trajectory_0413,1,26,1364,one_class_svm_sgd,turn_embedding_pool_side,-22.477688340279247
trace,trajectory_0043,1,29,847,one_class_svm_sgd,turn_embedding_pool_side,-22.474404491293217
trace,trajectory_0106,1,21,906,one_class_svm_sgd,turn_embedding_pool_side,-22.470881929197322
trace,trajectory_0278,0,21,752,one_class_svm_sgd,turn_embedding_pool_side,-22.468910775072846
trace,trajectory_0297,1,25,823,one_class_svm_sgd,turn_embedding_pool_side,-22.469001291710857
trace,trajectory_0014,0,36,643,one_class_svm_sgd,turn_embedding_pool_side,-22.47127256406934
trace,trajectory_0444,0,21,893,one_class_svm_sgd,turn_embedding_pool_side,-22.472506161122556
trace,trajectory_0151,1,24,636,one_class_svm_sgd,turn_embedding_pool_side,-22.472698377254392
trace,trajectory_0501,1,24,1088,one_class_svm_sgd,turn_embedding_pool_side,-22.475471590454664
trace,trajectory_0281,0,24,656,one_class_svm_sgd,turn_embedding_pool_side,-22.473711757729735
trace,trajectory_0452,1,29,1014,one_class_svm_sgd,turn_embedding_pool_side,-22.469198870398078
trace,trajectory_0002,1,25,748,one_class_svm_sgd,turn_embedding_pool_side,-22.47661549951413
trace,trajectory_0517,1,24,773,one_class_svm_sgd,turn_embedding_pool_side,-22.47707251999059
trace,trajectory_0147,0,23,877,one_class_svm_sgd,turn_embedding_pool_side,-22.47269374997818
trace,trajectory_0393,1,31,1000,one_class_svm_sgd,turn_embedding_pool_side,-22.467032983766376
trace,trajectory_0239,0,27,623,one_class_svm_sgd,turn_embedding_pool_side,-22.470570636955063
trace,trajectory_0055,0,25,760,one_class_svm_sgd,turn_embedding_pool_side,-22.475793218049194
trace,trajectory_0405,1,18,799,one_class_svm_sgd,turn_embedding_pool_side,-22.473833715352203
trace,trajectory_0110,0,40,889,one_class_svm_sgd,turn_embedding_pool_side,-22.47097222045527
trace,trajectory_0307,0,26,835,one_class_svm_sgd,turn_embedding_pool_side,-22.473597044399913
trace,trajectory_0242,0,42,1168,one_class_svm_sgd,turn_embedding_pool_side,-22.469044216251906
trace,trajectory_0491,1,41,1210,one_class_svm_sgd,turn_embedding_pool_side,-22.4724345251871
trace,trajectory_0184,0,33,1034,one_class_svm_sgd,turn_embedding_pool_side,-22.473702901783373
trace,trajectory_0350,0,21,877,one_class_svm_sgd,turn_embedding_pool_side,-22.47148422016294
trace,trajectory_0215,0,31,1176,one_class_svm_sgd,turn_embedding_pool_side,-22.472388198873933
trace,trajectory_0096,1,29,610,one_class_svm_sgd,turn_embedding_pool_side,-22.47196786412501
trace,trajectory_0429,1,23,543,one_class_svm_sgd,turn_embedding_pool_side,-22.47438620337748
trace,trajectory_0079,1,25,1426,one_class_svm_sgd,turn_embedding_pool_side,-22.468612792303293
trace,trajectory_0346,1,21,686,one_class_svm_sgd,turn_embedding_pool_side,-22.470125970705386
trace,trajectory_0203,1,18,539,one_class_svm_sgd,turn_embedding_pool_side,-22.470172464656617
trace,trajectory_0080,0,36,1301,one_class_svm_sgd,turn_embedding_pool_side,-22.473146460293766
trace,trajectory_0311,0,16,664,one_class_svm_sgd,turn_embedding_pool_side,-22.473344576354112
trace,trajectory_0254,0,31,948,one_class_svm_sgd,turn_embedding_pool_side,-22.46503391866104
trace,trajectory_0487,1,36,1386,one_class_svm_sgd,turn_embedding_pool_side,-22.476299065905597
trace,trajectory_0192,1,21,875,one_class_svm_sgd,turn_embedding_pool_side,-22.4713495292654
trace,trajectory_0468,1,24,793,one_class_svm_sgd,turn_embedding_pool_side,-22.474305922905888
trace,trajectory_0038,1,23,824,one_class_svm_sgd,turn_embedding_pool_side,-22.47058101724365
trace,trajectory_0486,1,29,1340,one_class_svm_sgd,turn_embedding_pool_side,-22.471393246245544
trace,trajectory_0193,1,23,637,one_class_svm_sgd,turn_embedding_pool_side,-22.469691800926785
trace,trajectory_0469,1,24,778,one_class_svm_sgd,turn_embedding_pool_side,-22.469301543589655
trace,trajectory_0039,0,32,1299,one_class_svm_sgd,turn_embedding_pool_side,-22.468212213001653
trace,trajectory_0310,0,23,591,one_class_svm_sgd,turn_embedding_pool_side,-22.470410491381745
trace,trajectory_0255,0,31,885,one_class_svm_sgd,turn_embedding_pool_side,-22.474741693860825
trace,trajectory_0081,1,24,1163,one_class_svm_sgd,turn_embedding_pool_side,-22.471977918683525
trace,trajectory_0347,0,24,1188,one_class_svm_sgd,turn_embedding_pool_side,-22.469400951797116
trace,trajectory_0202,0,30,794,one_class_svm_sgd,turn_embedding_pool_side,-22.475464616711225
trace,trajectory_0097,0,31,905,one_class_svm_sgd,turn_embedding_pool_side,-22.470011139330428
trace,trajectory_0428,0,24,2116,one_class_svm_sgd,turn_embedding_pool_side,-22.47357140415811
trace,trajectory_0078,0,29,664,one_class_svm_sgd,turn_embedding_pool_side,-22.472453464562978
trace,trajectory_0351,0,19,264,one_class_svm_sgd,turn_embedding_pool_side,-22.465613106540378
trace,trajectory_0214,1,22,1014,one_class_svm_sgd,turn_embedding_pool_side,-22.47083608926737
trace,trajectory_0490,1,34,943,one_class_svm_sgd,turn_embedding_pool_side,-22.47291389973366
trace,trajectory_0185,0,24,1525,one_class_svm_sgd,turn_embedding_pool_side,-22.47399887004399
trace,trajectory_0306,1,31,699,one_class_svm_sgd,turn_embedding_pool_side,-22.4672584106866
trace,trajectory_0243,1,27,901,one_class_svm_sgd,turn_embedding_pool_side,-22.470078812022667
trace,trajectory_0054,0,18,657,one_class_svm_sgd,turn_embedding_pool_side,-22.468996662921246
trace,trajectory_0404,1,30,1195,one_class_svm_sgd,turn_embedding_pool_side,-22.470113161760356
trace,trajectory_0111,0,29,822,one_class_svm_sgd,turn_embedding_pool_side,-22.47885916828641
trace,trajectory_0392,1,27,672,one_class_svm_sgd,turn_embedding_pool_side,-22.470185338095735
trace,trajectory_0238,1,21,717,one_class_svm_sgd,turn_embedding_pool_side,-22.47292603672945
trace,trajectory_0453,1,34,869,one_class_svm_sgd,turn_embedding_pool_side,-22.46752389614817
trace,trajectory_0003,0,26,1004,one_class_svm_sgd,turn_embedding_pool_side,-22.467377378705397
trace,trajectory_0516,1,24,773,one_class_svm_sgd,turn_embedding_pool_side,-22.47707251999059
trace,trajectory_0146,1,21,757,one_class_svm_sgd,turn_embedding_pool_side,-22.471115631791736
trace,trajectory_0280,0,36,1008,one_class_svm_sgd,turn_embedding_pool_side,-22.476375578711714
trace,trajectory_0015,0,35,991,one_class_svm_sgd,turn_embedding_pool_side,-22.467641461347785
trace,trajectory_0445,0,23,759,one_class_svm_sgd,turn_embedding_pool_side,-22.469580454211656
trace,trajectory_0150,0,17,778,one_class_svm_sgd,turn_embedding_pool_side,-22.466916921182975
trace,trajectory_0500,1,21,857,one_class_svm_sgd,turn_embedding_pool_side,-22.473622618517812
trace,trajectory_0279,0,26,882,one_class_svm_sgd,turn_embedding_pool_side,-22.473944660550888
trace,trajectory_0296,1,24,791,one_class_svm_sgd,turn_embedding_pool_side,-22.473976824707325
trace,trajectory_0412,1,25,829,one_class_svm_sgd,turn_embedding_pool_side,-22.47075700368264
trace,trajectory_0042,0,28,795,one_class_svm_sgd,turn_embedding_pool_side,-22.469157741446953
trace,trajectory_0107,1,26,1049,one_class_svm_sgd,turn_embedding_pool_side,-22.467167575128816
trace,trajectory_0384,0,20,531,one_class_svm_sgd,turn_embedding_pool_side,-22.46688272633587
trace,trajectory_0259,1,27,892,one_class_svm_sgd,turn_embedding_pool_side,-22.476584019879784
trace,trajectory_0170,0,35,977,one_class_svm_sgd,turn_embedding_pool_side,-22.469673792873483
trace,trajectory_0035,0,26,873,one_class_svm_sgd,turn_embedding_pool_side,-22.472783778603162
trace,trajectory_0465,1,20,624,one_class_svm_sgd,turn_embedding_pool_side,-22.467968751012496
trace,trajectory_0127,0,15,601,one_class_svm_sgd,turn_embedding_pool_side,-22.475849231514122
trace,trajectory_0432,1,21,621,one_class_svm_sgd,turn_embedding_pool_side,-22.471294644563432
trace,trajectory_0062,0,17,684,one_class_svm_sgd,turn_embedding_pool_side,-22.469682835200775
trace,trajectory_0218,1,26,919,one_class_svm_sgd,turn_embedding_pool_side,-22.470082234400298
trace,trajectory_0131,1,38,1117,one_class_svm_sgd,turn_embedding_pool_side,-22.471854910994853
trace,trajectory_0074,1,33,2085,one_class_svm_sgd,turn_embedding_pool_side,-22.471468468937065
trace,trajectory_0424,0,22,994,one_class_svm_sgd,turn_embedding_pool_side,-22.469201426645714
trace,trajectory_0166,0,33,956,one_class_svm_sgd,turn_embedding_pool_side,-22.472289646319087
trace,trajectory_0189,0,25,686,one_class_svm_sgd,turn_embedding_pool_side,-22.476488924394335
trace,trajectory_0473,0,30,604,one_class_svm_sgd,turn_embedding_pool_side,-22.471732914722498
trace,trajectory_0023,1,22,604,one_class_svm_sgd,turn_embedding_pool_side,-22.47346896053755
trace,trajectory_0234,0,20,754,one_class_svm_sgd,turn_embedding_pool_side,-22.469401602558765
trace,trajectory_0371,1,16,569,one_class_svm_sgd,turn_embedding_pool_side,-22.473228775239523
trace,trajectory_0408,1,24,1324,one_class_svm_sgd,turn_embedding_pool_side,-22.47156391739377
trace,trajectory_0058,0,22,1110,one_class_svm_sgd,turn_embedding_pool_side,-22.47288394467437
trace,trajectory_0263,1,21,613,one_class_svm_sgd,turn_embedding_pool_side,-22.467854244676392
trace,trajectory_0326,0,15,645,one_class_svm_sgd,turn_embedding_pool_side,-22.47032367023171
trace,trajectory_0275,1,22,604,one_class_svm_sgd,turn_embedding_pool_side,-22.472865296802457
trace,trajectory_0330,1,22,1111,one_class_svm_sgd,turn_embedding_pool_side,-22.470556429163526
trace,trajectory_0449,1,26,599,one_class_svm_sgd,turn_embedding_pool_side,-22.46749289166296
trace,trajectory_0019,1,21,880,one_class_svm_sgd,turn_embedding_pool_side,-22.47295507629865
trace,trajectory_0388,1,43,1307,one_class_svm_sgd,turn_embedding_pool_side,-22.47093992847481
trace,trajectory_0222,0,17,591,one_class_svm_sgd,turn_embedding_pool_side,-22.471633953549873
trace,trajectory_0367,1,21,950,one_class_svm_sgd,turn_embedding_pool_side,-22.475980512606885
trace,trajectory_0229,1,24,790,one_class_svm_sgd,turn_embedding_pool_side,-22.469775032526787
trace,trajectory_0383,0,34,1353,one_class_svm_sgd,turn_embedding_pool_side,-22.468481960573673
trace,trajectory_0415,1,35,1135,one_class_svm_sgd,turn_embedding_pool_side,-22.4758496142877
trace,trajectory_0045,0,20,700,one_class_svm_sgd,turn_embedding_pool_side,-22.467676722166335
trace,trajectory_0100,1,24,978,one_class_svm_sgd,turn_embedding_pool_side,-22.47184265758374
trace,trajectory_0291,1,29,1067,one_class_svm_sgd,turn_embedding_pool_side,-22.467259034439895
trace,trajectory_0012,1,27,512,one_class_svm_sgd,turn_embedding_pool_side,-22.46893412135073
trace,trajectory_0442,0,39,713,one_class_svm_sgd,turn_embedding_pool_side,-22.47061812765428
trace,trajectory_0157,0,34,1021,one_class_svm_sgd,turn_embedding_pool_side,-22.476045381086852
trace,trajectory_0507,1,36,1071,one_class_svm_sgd,turn_embedding_pool_side,-22.471254851012464
trace,trajectory_0268,1,23,756,one_class_svm_sgd,turn_embedding_pool_side,-22.47162452553862
trace,trajectory_0287,0,22,604,one_class_svm_sgd,turn_embedding_pool_side,-22.47078891219103
trace,trajectory_0454,1,19,622,one_class_svm_sgd,turn_embedding_pool_side,-22.472010536859717
trace,trajectory_0004,0,32,1277,one_class_svm_sgd,turn_embedding_pool_side,-22.471104188864093
trace,trajectory_0511,1,22,1115,one_class_svm_sgd,turn_embedding_pool_side,-22.468878642930623
trace,trajectory_0141,1,20,718,one_class_svm_sgd,turn_embedding_pool_side,-22.47310228021347
trace,trajectory_0395,1,20,757,one_class_svm_sgd,turn_embedding_pool_side,-22.469164285152193
trace,trajectory_0053,1,31,1104,one_class_svm_sgd,turn_embedding_pool_side,-22.47095802290828
trace,trajectory_0403,1,30,1272,one_class_svm_sgd,turn_embedding_pool_side,-22.47407726132774
trace,trajectory_0116,0,28,560,one_class_svm_sgd,turn_embedding_pool_side,-22.471246931976612
trace,trajectory_0301,0,18,829,one_class_svm_sgd,turn_embedding_pool_side,-22.473238383694525
trace,trajectory_0244,0,29,1297,one_class_svm_sgd,turn_embedding_pool_side,-22.4720719817979
trace,trajectory_0497,1,34,1000,one_class_svm_sgd,turn_embedding_pool_side,-22.472103367834325
trace,trajectory_0028,0,25,599,one_class_svm_sgd,turn_embedding_pool_side,-22.46554748508611
trace,trajectory_0182,0,26,625,one_class_svm_sgd,turn_embedding_pool_side,-22.474752502790626
trace,trajectory_0478,0,29,667,one_class_svm_sgd,turn_embedding_pool_side,-22.46830675618371
trace,trajectory_0356,0,22,1483,one_class_svm_sgd,turn_embedding_pool_side,-22.463357361308272
trace,trajectory_0213,0,32,1334,one_class_svm_sgd,turn_embedding_pool_side,-22.477320840391304
trace,trajectory_0090,1,26,632,one_class_svm_sgd,turn_embedding_pool_side,-22.465889386641766
trace,trajectory_0340,0,32,971,one_class_svm_sgd,turn_embedding_pool_side,-22.4657592513086
trace,trajectory_0205,1,26,577,one_class_svm_sgd,turn_embedding_pool_side,-22.470593849471744
trace,trajectory_0086,0,26,783,one_class_svm_sgd,turn_embedding_pool_side,-22.472471163882847
trace,trajectory_0069,1,33,1010,one_class_svm_sgd,turn_embedding_pool_side,-22.46988718541802
trace,trajectory_0439,0,38,975,one_class_svm_sgd,turn_embedding_pool_side,-22.477554973023917
trace,trajectory_0317,0,15,304,one_class_svm_sgd,turn_embedding_pool_side,-22.472444079159732
trace,trajectory_0252,1,27,828,one_class_svm_sgd,turn_embedding_pool_side,-22.474017375889208
trace,trajectory_0481,0,21,1084,one_class_svm_sgd,turn_embedding_pool_side,-22.474969372427996
trace,trajectory_0194,1,29,1137,one_class_svm_sgd,turn_embedding_pool_side,-22.475159436739023
trace,trajectory_0049,1,22,573,one_class_svm_sgd,turn_embedding_pool_side,-22.470778260887574
trace,trajectory_0419,0,43,665,one_class_svm_sgd,turn_embedding_pool_side,-22.468912556343685
trace,trajectory_0225,0,20,1048,one_class_svm_sgd,turn_embedding_pool_side,-22.463884789305713
trace,trajectory_0360,1,27,863,one_class_svm_sgd,turn_embedding_pool_side,-22.474779463647838
trace,trajectory_0272,1,27,591,one_class_svm_sgd,turn_embedding_pool_side,-22.47395198633426
trace,trajectory_0337,1,25,930,one_class_svm_sgd,turn_embedding_pool_side,-22.475152542623665
trace,trajectory_0008,0,28,832,one_class_svm_sgd,turn_embedding_pool_side,-22.469788493281204
trace,trajectory_0458,1,26,1200,one_class_svm_sgd,turn_embedding_pool_side,-22.470394814661677
trace,trajectory_0264,0,20,1255,one_class_svm_sgd,turn_embedding_pool_side,-22.46833324311415
trace,trajectory_0321,0,25,751,one_class_svm_sgd,turn_embedding_pool_side,-22.47050215634049
trace,trajectory_0233,1,19,621,one_class_svm_sgd,turn_embedding_pool_side,-22.474009358133163
trace,trajectory_0399,1,14,274,one_class_svm_sgd,turn_embedding_pool_side,-22.470633676317494
trace,trajectory_0376,1,36,1350,one_class_svm_sgd,turn_embedding_pool_side,-22.467159374542508
trace,trajectory_0161,0,31,1189,one_class_svm_sgd,turn_embedding_pool_side,-22.46922751299103
trace,trajectory_0474,0,30,590,one_class_svm_sgd,turn_embedding_pool_side,-22.47136372681239
trace,trajectory_0024,1,29,696,one_class_svm_sgd,turn_embedding_pool_side,-22.47155826729254
trace,trajectory_0248,0,35,1559,one_class_svm_sgd,turn_embedding_pool_side,-22.47192511176222
trace,trajectory_0136,0,37,922,one_class_svm_sgd,turn_embedding_pool_side,-22.471996537684436
trace,trajectory_0073,0,28,1059,one_class_svm_sgd,turn_embedding_pool_side,-22.469827147591833
trace,trajectory_0423,1,28,844,one_class_svm_sgd,turn_embedding_pool_side,-22.47408134936818
trace,trajectory_0120,0,37,1336,one_class_svm_sgd,turn_embedding_pool_side,-22.47567573263773
trace,trajectory_0435,1,34,870,one_class_svm_sgd,turn_embedding_pool_side,-22.474286147668
trace,trajectory_0065,1,32,1648,one_class_svm_sgd,turn_embedding_pool_side,-22.468583998603254
trace,trajectory_0209,1,21,731,one_class_svm_sgd,turn_embedding_pool_side,-22.471485044383417
trace,trajectory_0177,0,32,782,one_class_svm_sgd,turn_embedding_pool_side,-22.472692246823545
trace,trajectory_0032,1,20,596,one_class_svm_sgd,turn_embedding_pool_side,-22.463686079061564
trace,trajectory_0198,1,21,783,one_class_svm_sgd,turn_embedding_pool_side,-22.471648878459792
trace,trajectory_0462,0,29,1231,one_class_svm_sgd,turn_embedding_pool_side,-22.47123399520756
trace,trajectory_0176,1,31,1045,one_class_svm_sgd,turn_embedding_pool_side,-22.472019532038804
trace,trajectory_0033,1,31,753,one_class_svm_sgd,turn_embedding_pool_side,-22.471231855261113
trace,trajectory_0199,1,19,666,one_class_svm_sgd,turn_embedding_pool_side,-22.47693019620606
trace,trajectory_0463,0,23,832,one_class_svm_sgd,turn_embedding_pool_side,-22.475322702708628
trace,trajectory_0208,1,41,920,one_class_svm_sgd,turn_embedding_pool_side,-22.472552432487692
trace,trajectory_0121,0,26,896,one_class_svm_sgd,turn_embedding_pool_side,-22.47374613098332
trace,trajectory_0434,1,24,722,one_class_svm_sgd,turn_embedding_pool_side,-22.464921676130007
trace,trajectory_0064,1,25,816,one_class_svm_sgd,turn_embedding_pool_side,-22.4664705659216
trace,trajectory_0137,0,25,846,one_class_svm_sgd,turn_embedding_pool_side,-22.47043949299955
trace,trajectory_0072,1,24,762,one_class_svm_sgd,turn_embedding_pool_side,-22.472591208103086
trace,trajectory_0422,0,24,1256,one_class_svm_sgd,turn_embedding_pool_side,-22.47659493963697
trace,trajectory_0249,1,23,761,one_class_svm_sgd,turn_embedding_pool_side,-22.470683869714822
trace,trajectory_0160,0,14,2402,one_class_svm_sgd,turn_embedding_pool_side,-22.47666433061936
trace,trajectory_0475,1,38,1369,one_class_svm_sgd,turn_embedding_pool_side,-22.474520417670693
trace,trajectory_0025,0,41,1102,one_class_svm_sgd,turn_embedding_pool_side,-22.469265788602616
trace,trajectory_0232,0,35,952,one_class_svm_sgd,turn_embedding_pool_side,-22.46554657751226
trace,trajectory_0398,1,39,1790,one_class_svm_sgd,turn_embedding_pool_side,-22.471006535268362
trace,trajectory_0377,1,27,1076,one_class_svm_sgd,turn_embedding_pool_side,-22.46797165280991
trace,trajectory_0265,0,20,837,one_class_svm_sgd,turn_embedding_pool_side,-22.474937026663657
trace,trajectory_0320,1,29,898,one_class_svm_sgd,turn_embedding_pool_side,-22.46261713541576
trace,trajectory_0009,1,30,881,one_class_svm_sgd,turn_embedding_pool_side,-22.469664705842707
trace,trajectory_0459,0,27,644,one_class_svm_sgd,turn_embedding_pool_side,-22.47578169852027
trace,trajectory_0273,0,21,1075,one_class_svm_sgd,turn_embedding_pool_side,-22.473635023734506
trace,trajectory_0336,0,27,1373,one_class_svm_sgd,turn_embedding_pool_side,-22.464740178822513
trace,trajectory_0224,0,26,857,one_class_svm_sgd,turn_embedding_pool_side,-22.471200161189746
trace,trajectory_0361,1,25,1354,one_class_svm_sgd,turn_embedding_pool_side,-22.469556515379782
trace,trajectory_0048,1,31,1146,one_class_svm_sgd,turn_embedding_pool_side,-22.476311233635034
trace,trajectory_0418,1,22,569,one_class_svm_sgd,turn_embedding_pool_side,-22.472182535841103
trace,trajectory_0480,1,33,1198,one_class_svm_sgd,turn_embedding_pool_side,-22.471955125029172
trace,trajectory_0195,0,23,855,one_class_svm_sgd,turn_embedding_pool_side,-22.468029090681785
trace,trajectory_0316,0,30,1189,one_class_svm_sgd,turn_embedding_pool_side,-22.4720754183782
trace,trajectory_0253,1,26,719,one_class_svm_sgd,turn_embedding_pool_side,-22.469055839390467
trace,trajectory_0087,1,22,588,one_class_svm_sgd,turn_embedding_pool_side,-22.46852105115072
trace,trajectory_0068,0,21,757,one_class_svm_sgd,turn_embedding_pool_side,-22.472839697073187
trace,trajectory_0438,1,26,981,one_class_svm_sgd,turn_embedding_pool_side,-22.467243382341668
trace,trajectory_0341,1,26,599,one_class_svm_sgd,turn_embedding_pool_side,-22.473721134751077
trace,trajectory_0204,0,20,903,one_class_svm_sgd,turn_embedding_pool_side,-22.470830132993843
trace,trajectory_0091,0,25,956,one_class_svm_sgd,turn_embedding_pool_side,-22.47562569034749
trace,trajectory_0357,1,20,656,one_class_svm_sgd,turn_embedding_pool_side,-22.468783849193688
trace,trajectory_0212,0,24,806,one_class_svm_sgd,turn_embedding_pool_side,-22.46779379156037
trace,trajectory_0496,1,28,909,one_class_svm_sgd,turn_embedding_pool_side,-22.469085693750504
trace,trajectory_0029,0,29,931,one_class_svm_sgd,turn_embedding_pool_side,-22.472981524462785
trace,trajectory_0183,1,23,709,one_class_svm_sgd,turn_embedding_pool_side,-22.47019031787754
trace,trajectory_0479,0,23,819,one_class_svm_sgd,turn_embedding_pool_side,-22.4686743339244
trace,trajectory_0300,1,24,767,one_class_svm_sgd,turn_embedding_pool_side,-22.467976695521475
trace,trajectory_0245,1,19,842,one_class_svm_sgd,turn_embedding_pool_side,-22.472082481528606
trace,trajectory_0052,1,25,1111,one_class_svm_sgd,turn_embedding_pool_side,-22.466889367946397
trace,trajectory_0402,1,25,920,one_class_svm_sgd,turn_embedding_pool_side,-22.473318536109264
trace,trajectory_0117,0,33,575,one_class_svm_sgd,turn_embedding_pool_side,-22.472212060163702
trace,trajectory_0394,0,26,908,one_class_svm_sgd,turn_embedding_pool_side,-22.47506171399259
trace,trajectory_0455,0,29,835,one_class_svm_sgd,turn_embedding_pool_side,-22.469289864338908
trace,trajectory_0005,1,30,823,one_class_svm_sgd,turn_embedding_pool_side,-22.471840459662463
trace,trajectory_0510,1,36,878,one_class_svm_sgd,turn_embedding_pool_side,-22.47280478411817
trace,trajectory_0140,0,22,553,one_class_svm_sgd,turn_embedding_pool_side,-22.473263201112832
trace,trajectory_0269,0,19,987,one_class_svm_sgd,turn_embedding_pool_side,-22.46833829891516
trace,trajectory_0286,0,32,806,one_class_svm_sgd,turn_embedding_pool_side,-22.474528528558995
trace,trajectory_0013,0,25,680,one_class_svm_sgd,turn_embedding_pool_side,-22.470065903658952
trace,trajectory_0443,0,26,833,one_class_svm_sgd,turn_embedding_pool_side,-22.469751523151036
trace,trajectory_0156,1,36,886,one_class_svm_sgd,turn_embedding_pool_side,-22.47338824420699
trace,trajectory_0506,1,36,1016,one_class_svm_sgd,turn_embedding_pool_side,-22.46955960888413
trace,trajectory_0290,1,28,1211,one_class_svm_sgd,turn_embedding_pool_side,-22.477273912909414
trace,trajectory_0414,0,19,536,one_class_svm_sgd,turn_embedding_pool_side,-22.46999203674027
trace,trajectory_0044,0,31,1210,one_class_svm_sgd,turn_embedding_pool_side,-22.46501469336913
trace,trajectory_0101,0,21,702,one_class_svm_sgd,turn_embedding_pool_side,-22.471582936164896
trace,trajectory_0228,0,20,796,one_class_svm_sgd,turn_embedding_pool_side,-22.472652626498576
trace,trajectory_0382,1,25,667,one_class_svm_sgd,turn_embedding_pool_side,-22.469987765694942
trace,trajectory_0196,1,31,1118,one_class_svm_sgd,turn_embedding_pool_side,-22.469331849757555
trace,trajectory_0483,1,28,688,one_class_svm_sgd,turn_embedding_pool_side,-22.46552791590334
trace,trajectory_0179,0,36,1141,one_class_svm_sgd,turn_embedding_pool_side,-22.474126318744357
trace,trajectory_0250,0,25,639,one_class_svm_sgd,turn_embedding_pool_side,-22.46967481616416
trace,trajectory_0315,0,25,1650,one_class_svm_sgd,turn_embedding_pool_side,-22.469736963086735
trace,trajectory_0084,1,24,1281,one_class_svm_sgd,turn_embedding_pool_side,-22.47631515357175
trace,trajectory_0207,0,32,860,one_class_svm_sgd,turn_embedding_pool_side,-22.47365869283208
trace,trajectory_0342,0,20,676,one_class_svm_sgd,turn_embedding_pool_side,-22.472337094875957
trace,trajectory_0092,1,28,893,one_class_svm_sgd,turn_embedding_pool_side,-22.469165158267106
trace,trajectory_0138,1,19,776,one_class_svm_sgd,turn_embedding_pool_side,-22.4672051433427
trace,trajectory_0211,0,21,1103,one_class_svm_sgd,turn_embedding_pool_side,-22.472147426842685
trace,trajectory_0354,1,20,691,one_class_svm_sgd,turn_embedding_pool_side,-22.465414600255873
trace,trajectory_0180,0,22,558,one_class_svm_sgd,turn_embedding_pool_side,-22.47042051986323
trace,trajectory_0495,1,26,978,one_class_svm_sgd,turn_embedding_pool_side,-22.469832637389164
trace,trajectory_0246,1,21,766,one_class_svm_sgd,turn_embedding_pool_side,-22.469476297190386
trace,trajectory_0303,1,21,530,one_class_svm_sgd,turn_embedding_pool_side,-22.467619056709783
trace,trajectory_0114,0,30,934,one_class_svm_sgd,turn_embedding_pool_side,-22.4637817268213
trace,trajectory_0051,0,26,834,one_class_svm_sgd,turn_embedding_pool_side,-22.472112234025236
